City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Pandan,PH,80.15,overcast clouds,14.0453,124.1694,Bonifacio Lodge
7,Riberalta,BO,86.2,scattered clouds,-10.9833,-66.1,Hotel Colonial
9,Safaga,EG,87.4,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
11,Angoche,MZ,78.01,clear sky,-16.2325,39.9086,Guest House HESADA
12,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
15,Sao Filipe,CV,80.15,broken clouds,14.8961,-24.4956,Hotel Xaguate
18,Touros,BR,86.25,clear sky,-5.1989,-35.4608,INN NEW HORIZON
19,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
20,Young,UY,71.11,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
41,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Callaguip,PH,81.18,few clouds,18.0714,120.4867,Pangil Beach Resort
57,Mabaruma,GY,84.83,light rain,8.2,-59.7833,Monty Brooms Guest House
59,Dawei,MM,77.16,overcast clouds,14.0833,98.2,Hotel Dawei
62,Kapaa,US,71.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Atuona,PF,76.57,overcast clouds,-9.8,-139.0333,Villa Enata
66,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Ponta Do Sol,PT,80.71,overcast clouds,32.6667,-17.1,Hotel do Campo
69,Castro,BR,75.02,few clouds,-24.7911,-50.0119,CHACARA BAILLY
70,Mana,GF,86.63,clear sky,5.6592,-53.7767,LE SAMANA
74,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
77,Victoria,HK,84.38,clear sky,22.2855,114.1577,Mini Central
81,Bengkulu,ID,76.89,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
88,Shiraz,IR,85.44,few clouds,29.6036,52.5388,Shams Hotel
92,Faya,SA,75.72,broken clouds,18.3851,42.4509,شيلة نسايم
93,Meulaboh,ID,75.43,light rain,4.1363,96.1285,Kost Pria
96,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
100,Auki,SB,76.75,overcast clouds,-8.7676,160.7034,Auki Motel
101,Algiers,DZ,75.02,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
105,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
106,Labuhan,ID,78.58,overcast clouds,-6.8844,112.2051,DoubleFAG
107,Butaritari,KI,82.31,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
108,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,Le four à pain
111,Richards Bay,ZA,75.36,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
112,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
113,Nushki,PK,77.07,clear sky,29.5542,66.0215,Shams hotel
115,Palauig,PH,81.0,broken clouds,15.435,119.9045,Villa Raphael Resort
117,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
122,Manadhoo,MV,81.27,broken clouds,5.7667,73.3833,Bon Abri maldives
127,Limoux,FR,74.7,clear sky,42.9167,2.1667,Domaine de l'Espinet
128,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
130,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
131,Arraial Do Cabo,BR,73.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
132,Inhambane,MZ,82.38,clear sky,-23.865,35.3833,Oceano
137,Kudahuvadhoo,MV,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
138,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
139,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Green leaf
143,Praia Da Vitoria,PT,70.75,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
146,Saumur,FR,72.03,clear sky,47.3333,-0.25,Hôtel la Longue Vue
147,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
148,Karratha,AU,74.52,few clouds,-20.7377,116.8463,ibis Styles Karratha
149,Seguin,US,80.4,clear sky,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
150,Kendari,ID,76.44,overcast clouds,-3.945,122.4989,Hotel Wixel
151,Sinnamary,GF,85.98,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
156,Xuddur,SO,80.26,light rain,4.1213,43.8894,Banjanay Hotel
159,Gasa,PS,82.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
165,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
166,Mayumba,GA,77.74,overcast clouds,-3.432,10.6554,LIKWALE LODGE
171,Dhidhdhoo,MV,81.54,overcast clouds,6.8833,73.1,Dhidhoo beach
173,Faanui,PF,77.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Panama City,PA,85.44,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
180,Georgetown,MY,78.89,heavy intensity rain,5.4112,100.3354,Cititel Penang
181,Ternate,ID,81.1,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
183,Buala,SB,80.62,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
185,Sur,OM,84.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
187,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
188,Kahama,TZ,88.05,broken clouds,-3.8333,32.6,Kahama Gold Hotel
189,Alugan,PH,80.4,overcast clouds,12.2188,125.4808,JM Lodge
190,Colares,PT,84.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
191,Itarema,BR,89.65,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Bubaque,GW,82.72,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Pouebo,NC,70.68,scattered clouds,-20.4,164.5667,RIVÂT LODGE
203,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
210,Naze,JP,74.32,broken clouds,28.3667,129.4833,Shishime Hotel
211,Kerema,PG,78.55,overcast clouds,-7.9631,145.7785,Frena Lodge
213,Gbarnga,LR,81.72,light rain,6.9956,-9.4722,Passion Hotel 2
216,Marsh Harbour,BS,79.32,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
218,Aquin,HT,85.71,scattered clouds,18.2833,-73.4,Asheev Beach
222,Lata,PT,80.49,clear sky,40.1629,-8.3327,Casa Maquia
226,Bintulu,MY,77.41,light rain,3.1667,113.0333,900 Boutique INN
229,Moerai,PF,71.82,overcast clouds,-22.4333,-151.3333,Le Manotel
230,Issia,CI,79.86,light rain,6.4922,-6.5856,Hôtel Ange Anaé
236,Alice Springs,AU,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
238,Kavieng,PG,82.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
239,Jha Jha,IN,79.2,overcast clouds,24.7667,86.3667,"Sahdev Das, krishna Das Building 🏢"
241,Innisfail,AU,72.25,broken clouds,-17.5333,146.0333,Moondarra Motel
242,Shahrud,IR,71.28,clear sky,36.4182,54.9763,Royal Hotel
244,Kalemie,CD,84.15,broken clouds,-5.9475,29.1947,Mahobilali
249,Sechura,PE,70.84,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
250,Mankono,CI,79.45,light rain,8.0586,-6.1897,Hôtel cotonputeur
252,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
254,Takestan,IR,84.33,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
257,Mormugao,IN,78.06,scattered clouds,15.4,73.8,Coconut Creek Resort
259,Malakal,SS,78.17,overcast clouds,9.5334,31.6605,Nile Palace Hotel
261,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
262,Sabzevar,IR,83.48,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
263,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
264,Umm Lajj,SA,86.61,clear sky,25.0213,37.2685,Moon light Furnished Units
265,Houma,US,77.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
267,Kabirwala,PK,89.46,clear sky,30.4068,71.8667,Kashi garments
268,Tomatlan,MX,78.67,broken clouds,19.9333,-105.25,El Salvial
271,Jhalu,IN,77.0,few clouds,29.35,78.25,Vijendra yadav
274,Ampanihy,MG,80.1,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
275,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
276,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
277,Kandrian,PG,77.83,overcast clouds,-6.2167,149.55,Kandrian Station
280,Ambilobe,MG,76.14,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
283,Sao Gabriel Da Cachoeira,BR,87.6,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
290,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
291,Catamarca,AR,75.06,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
292,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
295,Samarai,PG,80.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
296,Anuradhapura,LK,78.3,moderate rain,8.3565,80.4173,Nilketha Villa Eco Hotel
309,Malanje,AO,76.6,light rain,-9.5402,16.341,Hotel Ginga
312,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
314,Waingapu,ID,80.92,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
315,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
324,Shimoni,KE,77.92,broken clouds,-4.6476,39.3817,Shimoni Reef Lodge
325,Panambi,BR,77.52,clear sky,-28.2925,-53.5017,Hotel Lages Panambi
329,Cocorit,MX,79.41,clear sky,27.5833,-109.9667,Kaba Motel
